Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.9309149477702954,0.9972083236687763,0.9226919097075844,0.9585040269765627,0.9612805995169947
Random Forest,0.897429609205154,0.9999826077882324,0.8814011420687541,0.9369548478564649,0.9639268286604145
Decision Tree,0.7322365979108119,0.9867276244825611,0.6997662208255088,0.8188333004466608,0.8941654898412296
XGBoost,0.9354751047245347,0.9999917171917967,0.9253899513279423,0.9612455562765478,0.9639668615367006
